Geography,Geographic Area Name,Estimate!!Total!!Total population,Margin of Error!!Total!!Total population,Estimate!!Total!!Total population!!SUMMARY INDICATORS!!Median age (years),Margin of Error!!Total!!Total population!!SUMMARY INDICATORS!!Median age (years)
1400000US06001400100,Census Tract 4001; Alameda County; California,3269,452,50.8,1.4
1400000US06037403318,Census Tract 4033.18; Los Angeles County; California,6250,582,45.0,3.3
1400000US06037403319,Census Tract 4033.19; Los Angeles County; California,4148,731,42.7,4.3
1400000US06037403320,Census Tract 4033.20; Los Angeles County; California,5221,669,46.9,3.6
1400000US06037403321,Census Tract 4033.21; Los Angeles County; California,5536,496,44.6,3.8
1400000US06037403323,Census Tract 4033.23; Los Angeles County; California,5551,615,44.3,1.4
1400000US06037403324,Census Tract 4033.24; Los Angeles County; California,6569,915,44.6,4.9
1400000US06037403325,Census Tract 4033.25; Los Angeles County; California,4864,460,39.8,2.3
1400000US06037403326,Census Tract 4033.26; Los Angeles County; California,2434,328,41.9,5.9
1400000US06037403327,Census Tract 4033.27; Los Angeles County; California,2431,242,49.8,4.8
1400000US06037403328,Census Tract 4033.28; Los Angeles County; California,5435,501,39.9,5.3
1400000US06037403401,Census Tract 4034.01; Los Angeles County; California,4895,507,41.9,3.8
1400000US06037403402,Census Tract 4034.02; Los Angeles County; California,3292,347,41.0,6.1
1400000US06037403403,Census Tract 4034.03; Los Angeles County; California,5228,555,49.7,4.7
1400000US06037403404,Census Tract 4034.04; Los Angeles County; California,2329,254,47.9,3.5
1400000US06037403407,Census Tract 4034.07; Los Angeles County; California,2193,319,50.0,7.7
1400000US06037403408,Census Tract 4034.08; Los Angeles County; California,6156,606,48.3,3.6
1400000US06037403409,Census Tract 4034.09; Los Angeles County; California,4119,420,44.8,4.9
1400000US06037403500,Census Tract 4035; Los Angeles County; California,1497,251,55.2,6.8
1400000US06037403601,Census Tract 4036.01; Los Angeles County; California,7006,1181,41.7,6.8
1400000US06037403702,Census Tract 4037.02; Los Angeles County; California,4084,671,43.3,4.1
1400000US06037403703,Census Tract 4037.03; Los Angeles County; California,4707,620,46.2,3.1
1400000US06037403721,Census Tract 4037.21; Los Angeles County; California,5469,862,42.0,3.4
1400000US06037403722,Census Tract 4037.22; Los Angeles County; California,5430,648,32.4,3.8
1400000US06037403801,Census Tract 4038.01; Los Angeles County; California,5653,623,37.1,3.2
1400000US06037403802,Census Tract 4038.02; Los Angeles County; California,6547,705,39.7,4.3
1400000US06037403901,Census Tract 4039.01; Los Angeles County; California,3091,272,40.0,2.0
1400000US06037403902,Census Tract 4039.02; Los Angeles County; California,5232,789,36.1,3.5
1400000US06037404000,Census Tract 4040; Los Angeles County; California,4696,633,34.9,1.8
1400000US06037404100,Census Tract 4041; Los Angeles County; California,6270,917,33.9,3.4
1400000US06037404201,Census Tract 4042.01; Los Angeles County; California,3419,338,32.2,3.4
1400000US06037404203,Census Tract 4042.03; Los Angeles County; California,4309,572,24.6,2.4
1400000US06037404301,Census Tract 4043.01; Los Angeles County; California,5920,874,30.0,4.4
1400000US06037404302,Census Tract 4043.02; Los Angeles County; California,2202,354,36.4,2.1
1400000US06037404401,Census Tract 4044.01; Los Angeles County; California,3807,593,33.4,3.3
1400000US06037404402,Census Tract 4044.02; Los Angeles County; California,4623,638,36.2,2.8
1400000US06037404501,Census Tract 4045.01; Los Angeles County; California,2786,510,31.3,6.8
1400000US06037404503,Census Tract 4045.03; Los Angeles County; California,2875,436,38.5,1.7
1400000US06037404504,Census Tract 4045.04; Los Angeles County; California,5291,784,30.7,3.0
1400000US06037404600,Census Tract 4046; Los Angeles County; California,1343,200,34.0,2.3
1400000US06037404701,Census Tract 4047.01; Los Angeles County; California,5646,756,37.4,4.8
1400000US06037404702,Census Tract 4047.02; Los Angeles County; California,4807,491,39.3,3.3
1400000US06037404703,Census Tract 4047.03; Los Angeles County; California,3189,508,34.7,2.3
1400000US06037404804,Census Tract 4048.04; Los Angeles County; California,4487,593,37.8,3.0
1400000US06037404805,Census Tract 4048.05; Los Angeles County; California,2972,569,34.6,4.2
1400000US06037404806,Census Tract 4048.06; Los Angeles County; California,5862,745,35.6,4.5
1400000US06037404901,Census Tract 4049.01; Los Angeles County; California,5640,878,39.4,4.6
1400000US06037404902,Census Tract 4049.02; Los Angeles County; California,3358,364,40.2,1.4
1400000US06037404903,Census Tract 4049.03; Los Angeles County; California,2520,259,38.9,5.0
1400000US06037405001,Census Tract 4050.01; Los Angeles County; California,5621,654,38.5,3.7
1400000US06037405002,Census Tract 4050.02; Los Angeles County; California,3346,534,35.2,5.0
1400000US06037405101,Census Tract 4051.01; Los Angeles County; California,5120,935,35.7,9.1
1400000US06037405102,Census Tract 4051.02; Los Angeles County; California,4902,588,43.5,5.2
1400000US06037405201,Census Tract 4052.01; Los Angeles County; California,5307,736,34.7,4.8
1400000US06037405202,Census Tract 4052.02; Los Angeles County; California,4631,781,33.0,3.5
1400000US06037405203,Census Tract 4052.03; Los Angeles County; California,3086,324,35.1,5.3
1400000US06037405301,Census Tract 4053.01; Los Angeles County; California,3108,337,35.6,3.3
1400000US06037405302,Census Tract 4053.02; Los Angeles County; California,5650,715,36.4,3.0
1400000US06037405400,Census Tract 4054; Los Angeles County; California,4807,637,38.0,5.6
1400000US06037405500,Census Tract 4055; Los Angeles County; California,6333,855,39.1,2.0
1400000US06037405600,Census Tract 4056; Los Angeles County; California,5613,743,39.1,4.5
1400000US06037405701,Census Tract 4057.01; Los Angeles County; California,3839,600,33.9,3.0
1400000US06037405702,Census Tract 4057.02; Los Angeles County; California,5319,947,39.5,2.6
1400000US06037405800,Census Tract 4058; Los Angeles County; California,5590,735,35.8,3.0
1400000US06037405900,Census Tract 4059; Los Angeles County; California,4212,521,36.7,4.0
1400000US06037406000,Census Tract 4060; Los Angeles County; California,5345,732,38.7,2.7
1400000US06037406101,Census Tract 4061.01; Los Angeles County; California,3125,504,38.7,2.9
1400000US06037406103,Census Tract 4061.03; Los Angeles County; California,8173,940,38.7,2.8
1400000US06037406201,Census Tract 4062.01; Los Angeles County; California,3505,716,45.5,11.4
1400000US06037406300,Census Tract 4063; Los Angeles County; California,6131,598,42.1,6.2
1400000US06037406413,Census Tract 4064.13; Los Angeles County; California,6473,547,47.2,2.8
1400000US06037406500,Census Tract 4065; Los Angeles County; California,7682,1085,37.8,7.4
1400000US06037406601,Census Tract 4066.01; Los Angeles County; California,4923,576,38.7,4.8
1400000US06037406602,Census Tract 4066.02; Los Angeles County; California,4846,853,43.9,6.7
1400000US06037406701,Census Tract 4067.01; Los Angeles County; California,3357,638,35.8,3.3
1400000US06037406702,Census Tract 4067.02; Los Angeles County; California,6512,668,35.6,3.0
1400000US06037406801,Census Tract 4068.01; Los Angeles County; California,4932,669,42.2,6.3
1400000US06037406903,Census Tract 4069.03; Los Angeles County; California,7708,855,40.5,2.8
1400000US06037407001,Census Tract 4070.01; Los Angeles County; California,5971,835,38.5,4.2
1400000US06037407002,Census Tract 4070.02; Los Angeles County; California,3490,525,38.7,3.5
1400000US06037407101,Census Tract 4071.01; Los Angeles County; California,4633,687,32.1,5.4
1400000US06037407102,Census Tract 4071.02; Los Angeles County; California,5332,636,40.3,5.3
1400000US06037407201,Census Tract 4072.01; Los Angeles County; California,3571,528,33.3,2.8
1400000US06037407202,Census Tract 4072.02; Los Angeles County; California,3035,528,44.1,9.8
1400000US06037407301,Census Tract 4073.01; Los Angeles County; California,3889,540,39.6,2.4
1400000US06037407302,Census Tract 4073.02; Los Angeles County; California,3421,820,33.1,6.0
1400000US06037407400,Census Tract 4074; Los Angeles County; California,1989,337,39.5,4.8
1400000US06037407501,Census Tract 4075.01; Los Angeles County; California,3919,648,40.3,1.8
1400000US06037407502,Census Tract 4075.02; Los Angeles County; California,4007,554,39.0,3.1
1400000US06037407601,Census Tract 4076.01; Los Angeles County; California,3922,633,35.3,4.9
1400000US06037407602,Census Tract 4076.02; Los Angeles County; California,4126,579,37.2,2.8
1400000US06037407701,Census Tract 4077.01; Los Angeles County; California,4355,453,34.5,5.2
1400000US06037407702,Census Tract 4077.02; Los Angeles County; California,6635,880,39.6,5.2
1400000US06037407801,Census Tract 4078.01; Los Angeles County; California,5157,998,36.3,4.7
1400000US06037407802,Census Tract 4078.02; Los Angeles County; California,3386,500,36.1,4.3
1400000US06037407901,Census Tract 4079.01; Los Angeles County; California,4374,731,34.6,7.8
1400000US06037407902,Census Tract 4079.02; Los Angeles County; California,1542,314,46.0,8.4
1400000US06037408003,Census Tract 4080.03; Los Angeles County; California,4790,597,43.2,3.4
1400000US06037408004,Census Tract 4080.04; Los Angeles County; California,2497,613,37.9,3.6
1400000US06037408005,Census Tract 4080.05; Los Angeles County; California,5271,631,40.1,2.2
1400000US06037408006,Census Tract 4080.06; Los Angeles County; California,3717,482,36.5,4.5
1400000US06037408133,Census Tract 4081.33; Los Angeles County; California,6227,955,34.0,2.6
1400000US06037408134,Census Tract 4081.34; Los Angeles County; California,2823,411,48.7,4.0
1400000US06037408135,Census Tract 4081.35; Los Angeles County; California,4249,907,42.2,8.6
1400000US06037408136,Census Tract 4081.36; Los Angeles County; California,3716,395,44.9,4.0
1400000US06037408137,Census Tract 4081.37; Los Angeles County; California,4202,524,38.3,4.7
1400000US06037408138,Census Tract 4081.38; Los Angeles County; California,5035,637,34.0,5.1
1400000US06037408139,Census Tract 4081.39; Los Angeles County; California,4581,654,35.0,2.7
1400000US06037408140,Census Tract 4081.40; Los Angeles County; California,3639,712,34.2,3.8
1400000US06037408141,Census Tract 4081.41; Los Angeles County; California,4692,601,33.7,3.5
1400000US06037408212,Census Tract 4082.12; Los Angeles County; California,4641,660,47.5,2.9
1400000US06037408213,Census Tract 4082.13; Los Angeles County; California,5847,731,37.6,4.5
1400000US06037408301,Census Tract 4083.01; Los Angeles County; California,6016,866,37.2,3.1
1400000US06037408302,Census Tract 4083.02; Los Angeles County; California,3589,525,38.3,2.6
1400000US06037408303,Census Tract 4083.03; Los Angeles County; California,4502,764,38.7,5.0
1400000US06037408401,Census Tract 4084.01; Los Angeles County; California,4467,670,44.7,9.4
1400000US06037408402,Census Tract 4084.02; Los Angeles County; California,6606,725,44.7,2.0
1400000US06037408503,Census Tract 4085.03; Los Angeles County; California,7037,989,39.7,4.9
1400000US06037408504,Census Tract 4085.04; Los Angeles County; California,5262,722,38.8,3.7
1400000US06037408505,Census Tract 4085.05; Los Angeles County; California,2546,324,44.5,6.1
1400000US06037408623,Census Tract 4086.23; Los Angeles County; California,3232,427,43.1,4.5
1400000US06037408624,Census Tract 4086.24; Los Angeles County; California,3027,424,47.7,5.8
1400000US06037408625,Census Tract 4086.25; Los Angeles County; California,3807,387,46.8,4.4
1400000US06037408626,Census Tract 4086.26; Los Angeles County; California,3717,517,50.5,4.8
1400000US06037408627,Census Tract 4086.27; Los Angeles County; California,2861,333,48.3,3.2
1400000US06037408628,Census Tract 4086.28; Los Angeles County; California,5358,732,44.0,5.2
1400000US06037408629,Census Tract 4086.29; Los Angeles County; California,3053,308,45.5,4.9
1400000US06037408631,Census Tract 4086.31; Los Angeles County; California,5195,901,41.7,2.6
1400000US06037408703,Census Tract 4087.03; Los Angeles County; California,5743,497,45.9,3.5
1400000US06037408705,Census Tract 4087.05; Los Angeles County; California,5580,892,45.2,5.7
1400000US06037408707,Census Tract 4087.07; Los Angeles County; California,6618,737,50.6,3.0
1400000US06037408722,Census Tract 4087.22; Los Angeles County; California,4210,557,48.7,2.8
1400000US06037408724,Census Tract 4087.24; Los Angeles County; California,5362,673,30.0,3.6
1400000US06037408725,Census Tract 4087.25; Los Angeles County; California,6075,738,46.4,3.6
1400000US06037408800,Census Tract 4088; Los Angeles County; California,4645,617,28.2,1.3
1400000US06037408900,Census Tract 4089; Los Angeles County; California,5826,593,50.4,5.4
1400000US06037409000,Census Tract 4090; Los Angeles County; California,7673,1155,38.2,7.4
1400000US06037409100,Census Tract 4091; Los Angeles County; California,5470,660,39.7,2.6
1400000US06037430003,Census Tract 4300.03; Los Angeles County; California,4855,746,48.6,6.2
1400000US06037430004,Census Tract 4300.04; Los Angeles County; California,3129,424,42.2,5.3
1400000US06037430005,Census Tract 4300.05; Los Angeles County; California,3849,503,46.1,5.2
1400000US06037430101,Census Tract 4301.01; Los Angeles County; California,4841,507,51.1,2.4
1400000US06037430102,Census Tract 4301.02; Los Angeles County; California,5012,648,36.9,6.6
1400000US06037430200,Census Tract 4302; Los Angeles County; California,1037,148,59.0,3.9
1400000US06037430301,Census Tract 4303.01; Los Angeles County; California,4548,705,48.9,6.4
1400000US06037430302,Census Tract 4303.02; Los Angeles County; California,5054,516,45.7,3.3
1400000US06037430400,Census Tract 4304; Los Angeles County; California,4358,549,47.6,2.7
1400000US06037430501,Census Tract 4305.01; Los Angeles County; California,4609,557,46.5,5.6
1400000US06037430502,Census Tract 4305.02; Los Angeles County; California,6542,552,46.7,4.1
1400000US06037430600,Census Tract 4306; Los Angeles County; California,4567,578,46.3,2.9
1400000US06037430701,Census Tract 4307.01; Los Angeles County; California,5224,606,44.6,2.4
1400000US06037430721,Census Tract 4307.21; Los Angeles County; California,3403,515,48.5,3.8
1400000US06037430723,Census Tract 4307.23; Los Angeles County; California,4967,819,37.6,3.0
1400000US06037430724,Census Tract 4307.24; Los Angeles County; California,5190,637,39.3,3.8
1400000US06037430801,Census Tract 4308.01; Los Angeles County; California,6867,1053,38.7,6.0
1400000US06037430802,Census Tract 4308.02; Los Angeles County; California,4199,585,40.4,3.2
1400000US06037430803,Census Tract 4308.03; Los Angeles County; California,5012,589,49.1,5.6
1400000US06037430901,Census Tract 4309.01; Los Angeles County; California,4389,431,38.2,2.4
1400000US06037430902,Census Tract 4309.02; Los Angeles County; California,5304,574,36.8,3.8
1400000US06037431002,Census Tract 4310.02; Los Angeles County; California,2907,299,52.0,5.8
1400000US06037431003,Census Tract 4310.03; Los Angeles County; California,4705,1273,32.4,3.3
1400000US06037431004,Census Tract 4310.04; Los Angeles County; California,3462,371,36.1,1.4
1400000US06037431100,Census Tract 4311; Los Angeles County; California,7062,900,35.3,1.9
1400000US06037431200,Census Tract 4312; Los Angeles County; California,6276,771,36.6,3.5
1400000US06037431300,Census Tract 4313; Los Angeles County; California,2543,377,44.1,2.9
1400000US06037431400,Census Tract 4314; Los Angeles County; California,3738,611,49.4,5.5
1400000US06037431501,Census Tract 4315.01; Los Angeles County; California,4068,423,45.5,4.4
1400000US06037431502,Census Tract 4315.02; Los Angeles County; California,4430,720,45.9,4.4
1400000US06037431600,Census Tract 4316; Los Angeles County; California,3810,603,47.7,5.3
1400000US06037431701,Census Tract 4317.01; Los Angeles County; California,6343,828,49.3,3.7
1400000US06037431800,Census Tract 4318; Los Angeles County; California,5040,664,49.2,4.3
1400000US06037431900,Census Tract 4319; Los Angeles County; California,3615,552,45.1,6.3
1400000US06037432001,Census Tract 4320.01; Los Angeles County; California,2231,277,52.1,3.4
1400000US06037432002,Census Tract 4320.02; Los Angeles County; California,5354,777,44.3,3.0
1400000US06037432101,Census Tract 4321.01; Los Angeles County; California,4813,683,42.4,2.9
1400000US06037432102,Census Tract 4321.02; Los Angeles County; California,5736,649,43.7,3.1
1400000US06037432201,Census Tract 4322.01; Los Angeles County; California,4500,936,40.9,4.6
1400000US06037432202,Census Tract 4322.02; Los Angeles County; California,3922,456,46.2,3.8
1400000US06037432300,Census Tract 4323; Los Angeles County; California,3922,824,34.2,7.7
1400000US06037432401,Census Tract 4324.01; Los Angeles County; California,3951,687,37.1,3.7
1400000US06037432402,Census Tract 4324.02; Los Angeles County; California,5480,843,35.5,4.0
1400000US06037432501,Census Tract 4325.01; Los Angeles County; California,4450,561,40.5,4.4
1400000US06037432502,Census Tract 4325.02; Los Angeles County; California,4024,1050,35.9,5.7
1400000US06037432601,Census Tract 4326.01; Los Angeles County; California,6489,871,37.0,3.2
1400000US06037432602,Census Tract 4326.02; Los Angeles County; California,4478,570,41.8,2.4
1400000US06037432700,Census Tract 4327; Los Angeles County; California,4808,842,37.1,5.8
1400000US06037432801,Census Tract 4328.01; Los Angeles County; California,2401,309,49.2,4.9
1400000US06037432802,Census Tract 4328.02; Los Angeles County; California,5523,1016,29.2,3.0
1400000US06037432901,Census Tract 4329.01; Los Angeles County; California,4034,600,40.3,9.9
1400000US06037432902,Census Tract 4329.02; Los Angeles County; California,3026,361,44.5,2.8
1400000US06037433103,Census Tract 4331.03; Los Angeles County; California,7149,636,42.1,3.5
1400000US06037433200,Census Tract 4332; Los Angeles County; California,5981,737,39.7,3.1
1400000US06037433302,Census Tract 4333.02; Los Angeles County; California,1867,486,37.3,7.7
1400000US06037433304,Census Tract 4333.04; Los Angeles County; California,4320,533,34.1,3.7
1400000US06037433305,Census Tract 4333.05; Los Angeles County; California,4614,635,37.5,4.0
1400000US06037433306,Census Tract 4333.06; Los Angeles County; California,3137,389,39.0,3.8
1400000US06037433307,Census Tract 4333.07; Los Angeles County; California,2798,327,38.6,4.5
1400000US06037433402,Census Tract 4334.02; Los Angeles County; California,4627,728,39.1,6.1
1400000US06037433403,Census Tract 4334.03; Los Angeles County; California,5141,612,31.7,2.7
1400000US06037433505,Census Tract 4335.05; Los Angeles County; California,4390,789,43.1,4.9
1400000US06037433506,Census Tract 4335.06; Los Angeles County; California,3838,476,36.4,4.9
1400000US06037433601,Census Tract 4336.01; Los Angeles County; California,5121,601,43.4,4.6
1400000US06037433602,Census Tract 4336.02; Los Angeles County; California,2757,390,42.6,4.3
1400000US06037433803,Census Tract 4338.03; Los Angeles County; California,3181,439,40.5,3.6
1400000US06037433804,Census Tract 4338.04; Los Angeles County; California,4660,674,29.8,4.0
1400000US06037433901,Census Tract 4339.01; Los Angeles County; California,5556,613,36.3,3.0
1400000US06037433903,Census Tract 4339.03; Los Angeles County; California,5146,701,37.2,5.1
1400000US06037434001,Census Tract 4340.01; Los Angeles County; California,4381,580,35.5,3.4
1400000US06037434003,Census Tract 4340.03; Los Angeles County; California,3886,429,34.3,3.0
1400000US06037434004,Census Tract 4340.04; Los Angeles County; California,3109,529,42.3,5.2
1400000US06037434100,Census Tract 4341; Los Angeles County; California,6102,568,40.9,2.8
1400000US06037460001,Census Tract 4600.01; Los Angeles County; California,1918,411,47.3,5.0
1400000US06037460002,Census Tract 4600.02; Los Angeles County; California,2782,252,52.7,4.1
1400000US06037460101,Census Tract 4601.01; Los Angeles County; California,5817,892,55.9,2.5
1400000US06037460200,Census Tract 4602; Los Angeles County; California,5785,1169,43.3,3.0
1400000US06037460301,Census Tract 4603.01; Los Angeles County; California,4797,592,43.7,2.6
1400000US06037460302,Census Tract 4603.02; Los Angeles County; California,4257,876,43.3,1.8
1400000US06037460401,Census Tract 4604.01; Los Angeles County; California,1000,153,43.1,4.6
1400000US06037460501,Census Tract 4605.01; Los Angeles County; California,5306,466,46.7,2.4
1400000US06037460502,Census Tract 4605.02; Los Angeles County; California,4771,783,41.9,4.6
1400000US06037460601,Census Tract 4606.01; Los Angeles County; California,5199,432,45.4,2.6
1400000US06037460700,Census Tract 4607; Los Angeles County; California,5102,602,45.5,4.6
1400000US06037460800,Census Tract 4608; Los Angeles County; California,2860,416,52.3,5.5
1400000US06037460900,Census Tract 4609; Los Angeles County; California,6720,786,39.9,4.9
1400000US06037461000,Census Tract 4610; Los Angeles County; California,5788,815,36.8,5.1
1400000US06037461100,Census Tract 4611; Los Angeles County; California,5055,617,42.8,2.6
1400000US06037461200,Census Tract 4612; Los Angeles County; California,4217,458,52.1,3.0
1400000US06037461300,Census Tract 4613; Los Angeles County; California,6572,804,41.3,2.9
1400000US06037461400,Census Tract 4614; Los Angeles County; California,2736,449,40.5,6.5
1400000US06037461501,Census Tract 4615.01; Los Angeles County; California,3615,481,39.9,3.7
1400000US06037461502,Census Tract 4615.02; Los Angeles County; California,6245,653,45.4,4.4
1400000US06037461600,Census Tract 4616; Los Angeles County; California,5495,818,39.4,2.2
1400000US06037461700,Census Tract 4617; Los Angeles County; California,1386,257,58.3,8.0
1400000US06037461901,Census Tract 4619.01; Los Angeles County; California,4796,903,33.3,1.6
1400000US06037461902,Census Tract 4619.02; Los Angeles County; California,2000,279,33.3,1.1
1400000US06037462001,Census Tract 4620.01; Los Angeles County; California,4280,702,36.5,2.6
1400000US06037462002,Census Tract 4620.02; Los Angeles County; California,3893,460,30.4,3.2
1400000US06037462100,Census Tract 4621; Los Angeles County; California,4808,784,36.9,4.4
1400000US06037462201,Census Tract 4622.01; Los Angeles County; California,3957,585,36.4,1.9
1400000US06037462202,Census Tract 4622.02; Los Angeles County; California,2951,536,35.0,3.3
1400000US06037462301,Census Tract 4623.01; Los Angeles County; California,4504,531,35.2,2.1
1400000US06037462302,Census Tract 4623.02; Los Angeles County; California,3338,537,33.7,1.7
1400000US06037462400,Census Tract 4624; Los Angeles County; California,3874,519,44.1,4.9
1400000US06037462500,Census Tract 4625; Los Angeles County; California,6454,724,42.0,3.9
1400000US06037462600,Census Tract 4626; Los Angeles County; California,2349,336,46.4,2.4
1400000US06037462700,Census Tract 4627; Los Angeles County; California,5539,613,36.2,3.9
1400000US06037462800,Census Tract 4628; Los Angeles County; California,2875,467,36.7,6.4
1400000US06037462900,Census Tract 4629; Los Angeles County; California,3828,471,44.3,3.8
1400000US06037463000,Census Tract 4630; Los Angeles County; California,2748,402,34.9,5.4
1400000US06037463103,Census Tract 4631.03; Los Angeles County; California,5474,757,45.5,3.2
1400000US06037463200,Census Tract 4632; Los Angeles County; California,3428,433,48.8,2.2
1400000US06037463300,Census Tract 4633; Los Angeles County; California,1934,331,46.2,4.0
1400000US06037463400,Census Tract 4634; Los Angeles County; California,5547,704,40.6,1.3
1400000US06037463500,Census Tract 4635; Los Angeles County; California,6063,765,31.4,2.9
1400000US06037463601,Census Tract 4636.01; Los Angeles County; California,5924,637,36.1,1.7
1400000US06037463602,Census Tract 4636.02; Los Angeles County; California,5682,739,39.5,2.4
1400000US06037463700,Census Tract 4637; Los Angeles County; California,3473,415,45.1,2.6
1400000US06037463800,Census Tract 4638; Los Angeles County; California,4001,560,43.7,3.5
1400000US06037463900,Census Tract 4639; Los Angeles County; California,3185,416,55.4,2.9
1400000US06037464000,Census Tract 4640; Los Angeles County; California,5387,674,46.1,2.5
1400000US06037464101,Census Tract 4641.01; Los Angeles County; California,2014,477,57.1,7.5
1400000US06037464102,Census Tract 4641.02; Los Angeles County; California,4618,1189,43.0,3.7
1400000US06037464200,Census Tract 4642; Los Angeles County; California,5810,1000,44.1,3.5
1400000US06037480002,Census Tract 4800.02; Los Angeles County; California,3936,612,49.2,3.0
1400000US06037480011,Census Tract 4800.11; Los Angeles County; California,5154,557,35.6,2.0
1400000US06037480012,Census Tract 4800.12; Los Angeles County; California,4908,548,45.6,3.2
1400000US06037480101,Census Tract 4801.01; Los Angeles County; California,4218,550,41.3,5.6
1400000US06037480102,Census Tract 4801.02; Los Angeles County; California,4059,506,42.3,2.9
1400000US06037480201,Census Tract 4802.01; Los Angeles County; California,3644,397,50.2,3.2
1400000US06037480202,Census Tract 4802.02; Los Angeles County; California,2756,327,48.8,2.5
1400000US06037480302,Census Tract 4803.02; Los Angeles County; California,4384,385,39.4,5.1
1400000US06037480303,Census Tract 4803.03; Los Angeles County; California,4387,483,35.3,3.2
1400000US06037480304,Census Tract 4803.04; Los Angeles County; California,4426,457,40.9,4.4
1400000US06037480400,Census Tract 4804; Los Angeles County; California,5517,720,42.2,5.5
1400000US06037480500,Census Tract 4805; Los Angeles County; California,5417,549,44.6,3.8
1400000US06037480601,Census Tract 4806.01; Los Angeles County; California,4188,354,32.6,2.4
1400000US06037480602,Census Tract 4806.02; Los Angeles County; California,4149,520,41.6,3.8
1400000US06037480702,Census Tract 4807.02; Los Angeles County; California,4564,396,43.7,2.8
1400000US06037480703,Census Tract 4807.03; Los Angeles County; California,4156,611,39.1,4.6
1400000US06037480704,Census Tract 4807.04; Los Angeles County; California,4109,472,42.2,1.1
1400000US06037480802,Census Tract 4808.02; Los Angeles County; California,3238,395,45.2,4.0
1400000US06037480803,Census Tract 4808.03; Los Angeles County; California,3145,364,46.1,5.3
1400000US06037480804,Census Tract 4808.04; Los Angeles County; California,4695,690,40.5,3.1
1400000US06037480901,Census Tract 4809.01; Los Angeles County; California,4207,475,39.0,3.2
1400000US06037480902,Census Tract 4809.02; Los Angeles County; California,4318,722,36.4,3.0
1400000US06037480903,Census Tract 4809.03; Los Angeles County; California,3116,443,39.3,5.1
1400000US06037481001,Census Tract 4810.01; Los Angeles County; California,4679,669,46.6,4.8
1400000US06037481002,Census Tract 4810.02; Los Angeles County; California,5571,640,39.2,2.8
1400000US06037481101,Census Tract 4811.01; Los Angeles County; California,4076,632,42.4,3.7
1400000US06037481102,Census Tract 4811.02; Los Angeles County; California,3707,343,33.9,4.3
1400000US06037481103,Census Tract 4811.03; Los Angeles County; California,5224,784,43.3,3.8
1400000US06037481201,Census Tract 4812.01; Los Angeles County; California,4218,587,34.8,1.5
1400000US06037481203,Census Tract 4812.03; Los Angeles County; California,6170,870,40.7,3.4
1400000US06037481300,Census Tract 4813; Los Angeles County; California,3338,400,44.4,4.3
1400000US06037481401,Census Tract 4814.01; Los Angeles County; California,5198,572,43.5,4.1
1400000US06037481403,Census Tract 4814.03; Los Angeles County; California,3316,1062,50.2,10.7
1400000US06037481404,Census Tract 4814.04; Los Angeles County; California,3933,556,49.0,6.4
1400000US06037481500,Census Tract 4815; Los Angeles County; California,4159,477,47.3,3.1
1400000US06037481603,Census Tract 4816.03; Los Angeles County; California,3450,500,37.9,7.2
1400000US06037481604,Census Tract 4816.04; Los Angeles County; California,3980,592,37.6,3.5
1400000US06037481605,Census Tract 4816.05; Los Angeles County; California,2806,377,42.4,3.7
1400000US06037481606,Census Tract 4816.06; Los Angeles County; California,5003,601,44.4,4.0
1400000US06037481711,Census Tract 4817.11; Los Angeles County; California,4609,655,47.8,5.1
1400000US06037481712,Census Tract 4817.12; Los Angeles County; California,5177,736,44.9,3.7
1400000US06037481713,Census Tract 4817.13; Los Angeles County; California,2876,452,43.3,11.4
1400000US06037481714,Census Tract 4817.14; Los Angeles County; California,2742,274,50.0,3.9
1400000US06037481800,Census Tract 4818; Los Angeles County; California,2307,305,49.7,4.4
1400000US06037481901,Census Tract 4819.01; Los Angeles County; California,5652,561,44.5,2.5
1400000US06037481902,Census Tract 4819.02; Los Angeles County; California,3255,463,37.0,4.7
1400000US06037482001,Census Tract 4820.01; Los Angeles County; California,2676,271,48.7,4.4
1400000US06037482002,Census Tract 4820.02; Los Angeles County; California,7210,773,44.3,5.9
1400000US06037482101,Census Tract 4821.01; Los Angeles County; California,4373,551,46.6,3.3
1400000US06037482102,Census Tract 4821.02; Los Angeles County; California,3188,467,49.4,4.0
1400000US06037482201,Census Tract 4822.01; Los Angeles County; California,3922,645,34.9,7.1
1400000US06037482202,Census Tract 4822.02; Los Angeles County; California,5022,742,40.4,4.2
1400000US06037482301,Census Tract 4823.01; Los Angeles County; California,5176,1161,47.3,6.8
1400000US06037482303,Census Tract 4823.03; Los Angeles County; California,5075,546,40.5,4.1
1400000US06037482304,Census Tract 4823.04; Los Angeles County; California,2842,477,39.3,5.6
1400000US06037482401,Census Tract 4824.01; Los Angeles County; California,3600,303,40.9,2.9
1400000US06037482403,Census Tract 4824.03; Los Angeles County; California,3172,497,42.9,10.4
1400000US06037482404,Census Tract 4824.04; Los Angeles County; California,3428,905,47.1,3.4
1400000US06037482502,Census Tract 4825.02; Los Angeles County; California,3519,524,45.0,2.8
1400000US06037482503,Census Tract 4825.03; Los Angeles County; California,3808,665,38.8,8.9
1400000US06037482521,Census Tract 4825.21; Los Angeles County; California,5279,753,44.9,4.6
1400000US06037482522,Census Tract 4825.22; Los Angeles County; California,4404,622,46.4,5.6
